Source,Target
"Alaska","Amsterdam"
"Alaska","Auckland"
"Alaska","Dubai"
"Alaska","Fiji"
"Alaska","hainan"
"Alaska","harbin"
"Alaska","Hawaii"
"Alaska","Helsinki"
"Alaska","Hokkaido"
"Alaska","LosAngeles"
"Alaska","Madagascar"
"Alaska","Mauritius"
"Alaska","Miami"
"Alaska","Newyork"
"Alaska","Oslo"
"Alaska","Reykjavík"
"Alaska","Seattle"
"Alaska","Sydney"
"Alaska","Vancouver"
"Alaska","yunnan"
"Amsterdam","Berlin"
"Amsterdam","London"
"Amsterdam","Milano"
"Amsterdam","Moscow"
"Amsterdam","Newyork"
"Amsterdam","Oslo"
"Amsterdam","Paris"
"Amsterdam","Provence"
"Amsterdam","Rome"
"Amsterdam","Seattle"
"Amsterdam","Sydney"
"Amsterdam","Vancouver"
"Amsterdam","Venice"
"Athens","Berlin"
"Athens","Cairo"
"Athens","Edinburgh"
"Athens","Madrid"
"Athens","Milano"
"Athens","Paris"
"Athens","Rome"
"Athens","Venice"
"Auckland","Dubai"
"Auckland","Fiji"
"Auckland","hainan"
"Auckland","Hawaii"
"Auckland","Madagascar"
"Auckland","Mauritius"
"Auckland","Miami"
"Auckland","Oslo"
"Auckland","Provence"
"Auckland","Reykjavík"
"Auckland","Seattle"
"Auckland","Sydney"
"Auckland","Vancouver"
"Bali","Dubai"
"Bali","Fiji"
"Bali","hainan"
"Bali","Hawaii"
"Bali","Madagascar"
"Bali","Maldives"
"Bali","Mauritius"
"Bali","Phuket"
"Bali","Sydney"
"beijing","harbin"
"Berlin","Cairo"
"Berlin","Edinburgh"
"Berlin","London"
"Berlin","Madrid"
"Berlin","Milano"
"Berlin","Moscow"
"Berlin","Newyork"
"Berlin","Oslo"
"Berlin","Paris"
"Berlin","Rome"
"Berlin","Venice"
"Cairo","Rome"
"chengdu","chongqing"
"chengdu","hainan"
"chengdu","harbin"
"chengdu","hongkong"
"chengdu","wuxi"
"chengdu","xiamen"
"chengdu","xian"
"chengdu","yunnan"
"chongqing","hainan"
"chongqing","harbin"
"chongqing","wuxi"
"chongqing","xiamen"
"chongqing","xian"
"chongqing","yunnan"
"Dubai","Fiji"
"Dubai","hainan"
"Dubai","Hawaii"
"Dubai","Maldives"
"Dubai","Mauritius"
"Dubai","Miami"
"Dubai","Sydney"
"Dubai","Vancouver"
"Edinburgh","London"
"Edinburgh","Oslo"
"Edinburgh","Paris"
"Edinburgh","Rome"
"Fiji","hainan"
"Fiji","Hawaii"
"Fiji","Maldives"
"Fiji","Mauritius"
"Fiji","Miami"
"Fiji","Phuket"
"Fiji","Sydney"
"Fiji","Vancouver"
"hainan","harbin"
"hainan","Hawaii"
"hainan","Madagascar"
"hainan","Maldives"
"hainan","Mauritius"
"hainan","Miami"
"hainan","Phuket"
"hainan","Seattle"
"hainan","Sydney"
"hainan","Vancouver"
"hainan","wuxi"
"hainan","xiamen"
"hainan","yunnan"
"harbin","Helsinki"
"harbin","Hokkaido"
"harbin","Moscow"
"harbin","Reykjavík"
"harbin","yunnan"
"Hawaii","LosAngeles"
"Hawaii","Maldives"
"Hawaii","Mauritius"
"Hawaii","Miami"
"Hawaii","Phuket"
"Hawaii","Reykjavík"
"Hawaii","Seattle"
"Hawaii","Sydney"
"Hawaii","Vancouver"
"Helsinki","Oslo"
"Helsinki","Reykjavík"
"Hokkaido","Kyoto"
"Hokkaido","Reykjavík"
"Hokkaido","Tokyo"
"hongkong","macao"
"hongkong","Singapore"
"Kyoto","Tokyo"
"Kyoto","wuxi"
"Kyoto","yunnan"
"London","Madrid"
"London","Milano"
"London","Moscow"
"London","Newyork"
"London","Oslo"
"London","Paris"
"London","Rome"
"London","Seattle"
"London","Sydney"
"London","Vancouver"
"London","Venice"
"LosAngeles","Miami"
"LosAngeles","Newyork"
"LosAngeles","Seattle"
"LosAngeles","Sydney"
"Madagascar","Mauritius"
"Madagascar","Vancouver"
"Madrid","Milano"
"Madrid","Paris"
"Madrid","Rome"
"Maldives","Mauritius"
"Maldives","Miami"
"Maldives","Phuket"
"Maldives","Sydney"
"Mauritius","Miami"
"Mauritius","Phuket"
"Mauritius","Sydney"
"Mauritius","Vancouver"
"Miami","Newyork"
"Miami","Phuket"
"Miami","Seattle"
"Miami","Sydney"
"Miami","Vancouver"
"Milano","Paris"
"Milano","Rome"
"Milano","Venice"
"Moscow","Oslo"
"Moscow","Paris"
"Moscow","Rome"
"Newyork","Paris"
"Newyork","Rome"
"Newyork","Seattle"
"Newyork","Sydney"
"Newyork","Vancouver"
"Oslo","Paris"
"Oslo","Reykjavík"
"Oslo","Rome"
"Oslo","Seattle"
"Oslo","Sydney"
"Oslo","Vancouver"
"Oslo","Venice"
"Paris","Provence"
"Paris","Rome"
"Paris","Sydney"
"Paris","Venice"
"Phuket","Sydney"
"Provence","Rome"
"Provence","Seattle"
"Provence","Vancouver"
"Provence","Venice"
"Provence","yunnan"
"Reykjavík","Seattle"
"Reykjavík","Sydney"
"Rome","Seattle"
"Rome","Sydney"
"Rome","Venice"
"Seattle","Sydney"
"Seattle","Vancouver"
"Singapore","Sydney"
"Sydney","Vancouver"
"wuxi","yunnan"
"xiamen","yunnan"
